Model,Threshold,TN,FP,FN,TP,Accuracy,BalancedAccuracy,Precision,Recall,F1 Score,ROC-AUC
LogisticRegression,0.5,43630,14737,1243,4349,0.7501524414077768,0.5252296050693783,0.22786335533899194,0.7777181688125894,0.3524596806872518,0.7626148025346892
DecisionTreeClassifier,0.5,44446,13921,1463,4129,0.759470911052393,0.49986819072636757,0.2287534626038781,0.7383762517882689,0.3492936299805431,0.7499340953631838
LogisticRegression,0.5,42579,15788,1319,4273,0.7325317781703904,0.4936320106166563,0.213000348935746,0.7641273247496424,0.3331384243558258,0.7468160053083281
DecisionTreeClassifier,0.5,37585,20782,1303,4289,0.654700667615191,0.4109311938985649,0.17107414941565952,0.7669885550786838,0.27975083977432086,0.7054655969492825
DecisionTreeClassifier,0.19,14372,43995,97,5495,0.3106208664925968,0.22888882119854648,0.11103253182461104,0.982653791130186,0.19952071457100323,0.6144444105992732
GradientBoostingClassifier,0.5,57963,404,5084,508,0.9141950311918573,0.0839223434823011,0.5570175438596491,0.09084406294706723,0.15621156211562115,0.5419611717411505
XGBClassifier,0.5,57971,396,5092,500,0.9141950311918573,0.08262879206955809,0.5580357142857143,0.08941344778254649,0.15413070283600494,0.541314396034779
