Model,Threshold,TN,FP,FN,TP,Accuracy,BalancedAccuracy,Precision,Recall,F1 Score,ROC-AUC
DecisionTreeClassifier,0.5,59572,21889,963,3727,0.7347448085338534,0.5259642395883763,0.14549500312304808,0.7946695095948827,0.24595789612617963,0.7629821197941882
DecisionTreeClassifier,0.5,54332,27129,952,3738,0.6740490534062286,0.46398439542628855,0.12110020410146759,0.7970149253731343,0.21025395843293868,0.7319921977131444
LogisticRegression,0.5,59004,22457,1245,3445,0.7248784111617973,0.45886364605412844,0.13300131263995058,0.7345415778251599,0.22522228033472802,0.7294318230270641
['DecisionTreeClassifier 0.19'],0.19,30692,50769,124,4566,0.4092581629928846,0.35033001913430173,0.08251558687991326,0.9735607675906184,0.1521366097459392,0.6751650095671509
XGBClassifier,0.5,81341,120,4562,128,0.9456535617694514,0.02581901331831471,0.5161290322580645,0.027292110874200425,0.05184285135682463,0.5129095066591574
GradientBoostingClassifier,0.5,81347,114,4570,120,0.9456303467168112,0.024186911266471656,0.5128205128205128,0.0255863539445629,0.048740861088545896,0.5120934556332357
